总价(万),单价(元/平米),房型,楼层,朝向,户型结构,装修情况,总面积,建造时间,小区名称,地区,是否有电梯,建筑结构,梯户比例,total_price,unit_price,total_area,build_year,community,district,room_cnt,hall_cnt,toilet_cnt,floor_level,floor_code,direction_clean,is_south_facing,decoration_type,decoration_score,area_range,house_age,age_range,price_level,elevator_num,household_num,density,is_valid
128.0,9024,4室2厅2卫,高楼层,南北,平层,精装,141.85,2013,新城国际花都,望城,有,钢混结构,其他,128.0,9024,141.85,2013,新城国际花都,望城,4,2,2,高楼层,3,南北通透,1,精装,3,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
134.0,9176,4室2厅2卫,低楼层,南,平层,其他,146.04,2013,时代年华,望城,有,钢混结构,两梯四户,134.0,9176,146.04,2013,时代年华,望城,4,2,2,低楼层,1,正南,1,其他,0,大户型(>144㎡),13,老房(11-20年),豪宅,,,,1
100.0,9987,3室2厅2卫,低楼层,南,平层,毛坯,100.14,2013,辉煌国际城二期,芙蓉,有,框架结构,两梯四户,100.0,9987,100.14,2013,辉煌国际城二期,芙蓉,3,2,2,低楼层,1,正南,1,毛坯,1,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
45.0,6776,2室1厅1卫,中楼层,南北,平层,其他,66.42,2013,正圆小区,雨花,有,砖混结构,四梯两户,45.0,6776,66.42,2013,正圆小区,雨花,2,1,1,中楼层,2,南北通透,1,其他,0,小户型(<90㎡),13,老房(11-20年),豪宅,,,,1
179.0,13162,4室2厅2卫,高楼层,南,平层,毛坯,136.0,2013,北辰三角洲奥城E4区,开福,有,钢混结构,两梯四户,179.0,13162,136.0,2013,北辰三角洲奥城E4区,开福,4,2,2,高楼层,3,正南,1,毛坯,1,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
138.0,15765,3室2厅1卫,高楼层,南,平层,其他,87.54,2019,北大资源理想家园,岳麓,有,钢混结构,两梯四户,138.0,15765,87.54,2019,北大资源理想家园,岳麓,3,2,1,高楼层,3,正南,1,其他,0,小户型(<90㎡),7,次新房(6-10年),豪宅,,,,1
338.0,21807,3室2厅2卫,中楼层,南北,平层,其他,155.0,2013,运达中央广场,雨花,有,钢混结构,两梯三户,338.0,21807,155.0,2013,运达中央广场,雨花,3,2,2,中楼层,2,南北通透,1,其他,0,大户型(>144㎡),13,老房(11-20年),豪宅,,,,1
168.0,12108,4室2厅2卫,中楼层,南,平层,简装,138.76,2013,鑫远湘府华城南区,天心,有,钢混结构,两梯三户,168.0,12108,138.76,2013,鑫远湘府华城南区,天心,4,2,2,中楼层,2,正南,1,简装,2,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
60.0,10443,2室1厅1卫,低楼层,东南,平层,其他,57.46,2013,砂子塘社区,雨花,有,钢混结构,其他,60.0,10443,57.46,2013,砂子塘社区,雨花,2,1,1,低楼层,1,东南,1,其他,0,小户型(<90㎡),13,老房(11-20年),豪宅,,,,1
185.0,13007,4室2厅2卫,高楼层,南北,平层,其他,142.24,2013,德奥悦东方,雨花,有,钢混结构,两梯三户,185.0,13007,142.24,2013,德奥悦东方,雨花,4,2,2,高楼层,3,南北通透,1,其他,0,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
